# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	SampleName	RedIDATFilename	GreenIDATFilename	SampleType	RedUUID	GreenUUID
C3L-00009	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00009.T.CPT0001380005.csv.gz	103275903	csv	5037ea8fa4d01b925ab8da04cc0346bc	C3L-00009.T	202176290116_R03C01_Red.idat	202176290116_R03C01_Grn.idat	tumor	e1c17f35-722e-4825-85d8-c6e5b1a8efa3	c591d380-c82b-45dd-b809-af2d9214e847
C3L-00010	CCRCC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00010.T.CPT0001220165.csv.gz	103272927	csv	2c8c5cd7afeb53e42dbb77c10d1bd2c4	C3L-00010.T	201557560050_R05C01_Red.idat	201557560050_R05C01_Grn.idat	tumor	59b116f3-8cc8-42f5-b05c-b4ae5e98f452	fbaed5d4-e5d9-4f86-a4c9-4216eba5fed8
C3L-00011	CCRCC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00011.T.CPT0001340005.csv.gz	103248266	csv	6cf6b1a9edcbac53e618883432723cd5	C3L-00011.T	201557540007_R07C01_Red.idat	201557540007_R07C01_Grn.idat	tumor	e4fd8e80-aa20-41c8-a477-62fc988ccb97	9e85224d-5077-40b6-92dc-091c83278d22
C3L-00016	GBM	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00016.T.CPT0000160003.csv.gz	103279108	csv	9825f594a71e5a7c06977f96525466d3	C3L-00016.T	202176290116_R07C01_Red.idat	202176290116_R07C01_Grn.idat	tumor	13b7fc78-234a-4239-bc28-a890b0753355	b30ea41c-3d88-4374-ac56-817f21a4a883
C3L-00017	PDA	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00017.A.CPT0000270008.csv.gz	103240858	csv	50538d00ca8e3446e9c2d6d54737890a	C3L-00017.A	203561450017_R08C01_Red.idat	203561450017_R08C01_Grn.idat	tissue_normal	2661771e-2854-4c68-ba50-156b41fb6a72	e9daa8b4-e05b-475f-a37c-efe598df3539
C3L-00017	PDA	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00017.T.CPT0000250005.csv.gz	103267332	csv	644be7a62022ba9bddb211648a6fd839	C3L-00017.T	202178770006_R07C01_Red.idat	202178770006_R07C01_Grn.idat	tumor	b9f50267-3fc2-42dd-a9ad-6c6c12ddf8eb	3efda741-accc-461e-a1e8-78c82d7c63eb
C3L-00019	GBM	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00019.T.CPT0017430007.csv.gz	103270143	csv	0ca1b8f32362545ead4b1b658b51e32a	C3L-00019.T	202176300039_R07C01_Red.idat	202176300039_R07C01_Grn.idat	tumor	84cab415-df9e-4327-8131-5e23e7f56605	c89451be-e74a-4f9f-987c-af3cbc03346d
C3L-00026	CCRCC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00026.T.CPT0001500005.csv.gz	103261915	csv	124b90109c46ddf7fe8c623e34185ac3	C3L-00026.T	201557560049_R04C01_Red.idat	201557560049_R04C01_Grn.idat	tumor	0733f93d-6e41-4445-93b1-eebb01f92aea	7c2b8116-e486-4120-b402-73f9e001f138
C3L-00029	SAR	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/SAR/CPTAC3_SAR_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00029.T.CPT0001000005.csv.gz	103255077	csv	a11e36117fb43c556bc10934714e8897	C3L-00029.T	202184990066_R05C01_Red.idat	202184990066_R05C01_Grn.idat	tumor	29720c1c-ae42-4df2-a28a-3cc78c9fe7bb	3b324ab4-02c3-41e6-9518-07dcf98fc945
C3L-00032	UCEC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00032.T.CPT0001420005.csv.gz	103282350	csv	f87042587753b8a3f6ff01481e211417	C3L-00032.T	201557560056_R03C01_Red.idat	201557560056_R03C01_Grn.idat	tumor	6d7604ca-2f77-4c93-9053-ec08558ce19c	5d9a0392-3fac-49c1-ac4c-6f57b24dba21
C3L-00035	SAR	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/SAR/CPTAC3_SAR_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00035.T.CPT0001100005.csv.gz	103265738	csv	3b7c33e5f702e301ef80eb9a1c64a911	C3L-00035.T	202178770006_R06C01_Red.idat	202178770006_R06C01_Grn.idat	tumor	104c301d-4d22-4f0a-8b85-d384651f31e9	2f216082-cd76-489b-a5c8-c26cd5f66979
C3L-00079	CCRCC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00079.T.CPT0001260005.csv.gz	103279209	csv	aff6135dce3bf4ae5991d69c913faf57	C3L-00079.T	201557560005_R03C01_Red.idat	201557560005_R03C01_Grn.idat	tumor	032603a3-4277-4b1f-88e3-433662c1afc4	0b4a56dd-b0dd-4fad-b4ff-0867fecac221
C3L-00080	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00080.A.CPT0001070009.csv.gz	103252884	csv	8130198d0d950ee254f4229f75d8ae68	C3L-00080.A	203027390091_R04C01_Red.idat	203027390091_R04C01_Grn.idat	tissue_normal	dfadb10b-f081-4e37-8d95-24a1131c22d0	0e8daa52-8fea-4ab4-bb04-a372c5aa7151
C3L-00080	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00080.T.CPT0001060005.csv.gz	103271233	csv	a88b885f8649cdeb8a605e3278eb97af	C3L-00080.T	201557560050_R02C01_Red.idat	201557560050_R02C01_Grn.idat	tumor	2241c633-bcc6-45a4-b7c7-c35b57b81481	729981ed-3612-4da1-9f2a-b22b87ccb154
C3L-00081	LSCC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00081.A.CPT0001030006.csv.gz	103198821	csv	0864bc699f9c518ae3389981d880feb1	C3L-00081.A	203219650157_R02C01_Red.idat	203219650157_R02C01_Grn.idat	tissue_normal	78941176-9350-4b80-8dee-0c58a5cbd65b	fe9c627b-314b-490a-991b-0d6375d7cbd6
C3L-00081	LSCC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00081.T.CPT0001020005.csv.gz	103279327	csv	e35fee92806357d9a5bf256abf8b160d	C3L-00081.T	201557560049_R08C01_Red.idat	201557560049_R08C01_Grn.idat	tumor	377de132-5df6-4bb3-aa26-334f984beb9c	357449ad-f612-4325-beae-8a1427c252f8
C3L-00083	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00083.A.CPT0091870009.csv.gz	103260236	csv	a932b75727c8b0c51f0a85be1832defa	C3L-00083.A	203028200101_R06C01_Red.idat	203028200101_R06C01_Grn.idat	tissue_normal	5772bfa3-9607-4e20-8d87-b335a6859a04	7bcc51bd-364a-4861-9d0d-1d7b59c796d0
C3L-00083	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00083.T.CPT0091860013.csv.gz	103124337	csv	4c68453631ee24a0084dec174e8bc0f5	C3L-00083.T	202234380051_R08C01_Red.idat	202234380051_R08C01_Grn.idat	tumor	eb0c248d-0734-4c1d-81bb-ab422452c614	c7995185-55a6-4f7f-9bbc-019fa7cc6878
C3L-00084	UCEC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00084.T.CPT0000820005.csv.gz	103278834	csv	cf70e24a9744b535adfc684297ffb206	C3L-00084.T	201557560056_R07C01_Red.idat	201557560056_R07C01_Grn.idat	tumor	c1a8f4a6-4acd-45da-a196-37bedc53fe81	f8dbb541-eb1a-46c8-8263-b3e3cc9186e6
C3L-00086	UCEC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00086.T.CPT0092460009.csv.gz	103058513	csv	e0d7c882a651485341d9ec065780b3a2	C3L-00086.T	202234380064_R08C01_Red.idat	202234380064_R08C01_Grn.idat	tumor	45573c0d-dcf2-4ccc-a349-8eccefabcde2	daa042f4-bc3f-4ade-90fc-ec2f7d9e4761
C3L-00088	CCRCC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00088.T.CPT0000870012.csv.gz	103274568	csv	c8c0ed2776fac5c4bcfbc843d99a611e	C3L-00088.T	201557540017_R05C01_Red.idat	201557540017_R05C01_Grn.idat	tumor	48979e81-0e72-40a3-b494-29ad6dcde119	6f821204-66ed-48c3-83fe-f5ac9837147a
C3L-00090	UCEC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00090.T.CPT0001140005.csv.gz	103298488	csv	1073f3133d7588f86f2f4ca5c1651365	C3L-00090.T	201557560056_R06C01_Red.idat	201557560056_R06C01_Grn.idat	tumor	fb420c34-1c43-4c6b-9d69-6c4cf9694e65	2e90f820-39f9-4485-9c3f-72b8f3d5526b
C3L-00093	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00093.A.CPT0086320009.csv.gz	103252975	csv	73975c6e5b396476823e568a9dbd1568	C3L-00093.A	203027390040_R03C01_Red.idat	203027390040_R03C01_Grn.idat	tissue_normal	3eb642e9-317e-40f1-9df7-6441b79380bc	de0c5eb3-ac50-4f0c-9bf9-3ef04e375cf4
C3L-00093	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00093.T.CPT0086310009.csv.gz	103179650	csv	50bda5125beb3df73339f0e91a8cdb6c	C3L-00093.T	202234370120_R01C01_Red.idat	202234370120_R01C01_Grn.idat	tumor	79b44df3-6b13-4a02-aeb3-158d75e5aff2	7b397ebc-a322-4631-88d8-fba0ce00a042
C3L-00094	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00094.A.CPT0000930009.csv.gz	103243277	csv	a6e2713eecaefc3e2679fa8f1a923199	C3L-00094.A	203028200093_R08C01_Red.idat	203028200093_R08C01_Grn.idat	tissue_normal	5996f844-911f-4c23-839b-d21595b3c487	42d9f4fe-5d2a-48cd-a520-79f64fff74ad
C3L-00094	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00094.T.CPT0000920005.csv.gz	103296291	csv	ade3d90c8587d49e57ec3b8cd274b25d	C3L-00094.T	201557560050_R04C01_Red.idat	201557560050_R04C01_Grn.idat	tumor	b2b859b7-08b6-46b1-90c1-c4ae26e90f84	5350b401-32ad-44a4-9b51-3b215577821f
C3L-00095	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00095.A.CPT0001690009.csv.gz	103268233	csv	a241db92d2f179336307840366f80fb7	C3L-00095.A	203027390073_R04C01_Red.idat	203027390073_R04C01_Grn.idat	tissue_normal	6a9689b1-9866-4771-93c7-05618d8714db	4f198590-798f-4499-95c8-c45fccd0a879
C3L-00095	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00095.T.CPT0001660005.csv.gz	103284500	csv	f7f3c2c3970ca467c074f788c55ec00b	C3L-00095.T	201557540007_R05C01_Red.idat	201557540007_R05C01_Grn.idat	tumor	3369e5ab-aec9-4a7e-967a-3aebe47d999e	d3890b3d-a816-4613-ad1f-0c270067e7bd
C3L-00096	CCRCC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00096.T.CPT0001180005.csv.gz	103286206	csv	0c72c538b485bda9fc01df883512b22d	C3L-00096.T	201557560005_R08C01_Red.idat	201557560005_R08C01_Grn.idat	tumor	29cd4b14-cbb2-4e87-81ca-81eb935f8dba	5fbb6b3c-5e06-4e00-a767-8716b85fe6b1
C3L-00097	CCRCC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00097.T.CPT0000780005.csv.gz	103260235	csv	e20c8728293d16c065cdd7d87499a05b	C3L-00097.T	201557540007_R03C01_Red.idat	201557540007_R03C01_Grn.idat	tumor	5612e893-1c4f-4802-946c-a2551dbddc62	a36fc07e-2777-49a7-aff5-2919972fa007
C3L-00098	UCEC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00098.T.CPT0000980005.csv.gz	103268168	csv	eee65e1d45ce28f92dc9d9bca1e4ae01	C3L-00098.T	201557560050_R07C01_Red.idat	201557560050_R07C01_Grn.idat	tumor	f306d40f-3262-410e-9e42-c366c6c2aa44	d8f4e11f-3841-4ddc-a95e-908e667be3eb
C3L-00102	PDA	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00102.A.CPT0001750009.csv.gz	103259982	csv	c519360936ab9e9f591b0cd7d90bd087	C3L-00102.A	203561450102_R08C01_Red.idat	203561450102_R08C01_Grn.idat	tissue_normal	aa3a3b61-f310-48ed-870a-4552fac08fa0	9adac64b-e82d-47e2-b373-630ad82db322
C3L-00102	PDA	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00102.T.CPT0001730005.csv.gz	103275049	csv	fb640b44fc58d99230e5dfc43758186e	C3L-00102.T	201557560005_R02C01_Red.idat	201557560005_R02C01_Grn.idat	tumor	8f326e68-5fb8-4be3-8ae3-960bdc96f716	a9955ace-38e9-4702-8e26-33de7bcb77ba
C3L-00103	CCRCC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00103.T.CPT0000640008.csv.gz	103226716	csv	9a2a82922d38da84763eb9179d339514	C3L-00103.T	202184990069_R01C01_Red.idat	202184990069_R01C01_Grn.idat	tumor	a7436b52-d702-4260-a6fc-a81ff78e3bf0	e5910ae5-bb8f-46c6-a1e8-b8da04dcbbc6
C3L-00103	CCRCC	Methylation_Array	v1.1	20201217	Y3	/CPTAC3.Y3_WashU/CCRCC/CPTAC3_CCRCC_Methylation_Array_v1.1_Methylation.CCRCC_ITH_20201217/C3L-00103.T.CPT0000630006.csv.gz	103038784	csv	66b1477fac4f24759f21ad1785629475	C3L-00103.T	204372030070_R01C01_Red.idat	204372030070_R01C01_Grn.idat	tumor	b3d1ac80-1afe-4638-a9a5-7565d3d2cf3b	c8b1652b-e7b5-48ae-bdd2-930be43ddaf9
C3L-00103	CCRCC	Methylation_Array	v1.1	20201217	Y3	/CPTAC3.Y3_WashU/CCRCC/CPTAC3_CCRCC_Methylation_Array_v1.1_Methylation.CCRCC_ITH_20201217/C3L-00103.T.CPT0000650006.csv.gz	103032777	csv	49cf813ab49678e6541a42f354bf646c	C3L-00103.T	204367490030_R02C01_Red.idat	204367490030_R02C01_Grn.idat	tumor	236d7ab1-b6c7-466f-b39a-296ef1f3aa74	1c3e5948-a555-47cc-821c-6ba3f483cda1
C3L-00104	GBM	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00104.T.CPT0092440009.csv.gz	101911438	csv	f318e8dce949afb3400103be691ea94b	C3L-00104.T	202234360029_R01C01_Red.idat	202234360029_R01C01_Grn.idat	tumor	7a4dc34c-3dd7-4542-bd37-fe0afcb41075	c09365e6-ee32-4785-8d0c-fd22eab3a45e
C3L-00136	UCEC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00136.T.CPT0000730008.csv.gz	103277907	csv	6983ae52089ed523024e09bef6a4aa08	C3L-00136.T	202176290095_R01C01_Red.idat	202176290095_R01C01_Grn.idat	tumor	55d23eb1-6473-448b-b804-19afccf1d0cd	bbe84fe1-79c6-45e6-b51e-b20f9f58d174
C3L-00137	UCEC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00137.T.CPT0002010008.csv.gz	103262358	csv	91dd9530fffd2d04423fb38b7b456002	C3L-00137.T	202184900149_R01C01_Red.idat	202184900149_R01C01_Grn.idat	tumor	cbb5af60-8eee-4d59-804b-325d00d5bfec	7c8e6110-aaf4-493a-b649-98f314bb1190
C3L-00139	UCEC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00139.T.CPT0001850005.csv.gz	103269127	csv	6b9e8107f29585de5438ddbd773374f8	C3L-00139.T	201557560005_R07C01_Red.idat	201557560005_R07C01_Grn.idat	tumor	fd16e330-9ef3-42fc-85f7-791612a2a0a0	cb62464e-ad33-4639-8792-319bc26bc562
C3L-00140	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00140.A.CPT0001810009.csv.gz	103249013	csv	b75d9a30c08051343bb03212e2c2bbcf	C3L-00140.A	203027390078_R06C01_Red.idat	203027390078_R06C01_Grn.idat	tissue_normal	64713670-5947-47b2-bd77-d3c111c9e8c9	24df4264-23c1-444d-929b-d50d1981fd1d
C3L-00140	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00140.T.CPT0001800005.csv.gz	103286985	csv	220b73704c38690ea4666d2d476e135e	C3L-00140.T	201557560056_R02C01_Red.idat	201557560056_R02C01_Grn.idat	tumor	099483f9-6e51-45ef-928e-c4379ed7483a	e5815762-c027-4598-8f8f-491a68fea85d
C3L-00143	UCEC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00143.T.CPT0001910012.csv.gz	103268349	csv	791b16a0dec4d8724e5a131594741401	C3L-00143.T	201557560050_R08C01_Red.idat	201557560050_R08C01_Grn.idat	tumor	e5cceaf8-5555-4c76-996b-fd528b4db562	c2c32dad-6099-42e8-9973-ab5f20d483ed
C3L-00144	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00144.A.CPT0001970009.csv.gz	103266637	csv	eb93e41826cd1644204fe99108234827	C3L-00144.A	203027390089_R04C01_Red.idat	203027390089_R04C01_Grn.idat	tissue_normal	fd45c0b6-83ea-4e99-82b9-3b638ce91b5c	26f46096-2284-42f2-8e0a-4c7fb5a6e81e
C3L-00144	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00144.T.CPT0001960012.csv.gz	103285520	csv	d3b0bd6d7562c6f82fdb40cf23be25fc	C3L-00144.T	201557560005_R04C01_Red.idat	201557560005_R04C01_Grn.idat	tumor	3b7fa135-7355-4490-9308-c21559a3bcb1	22a6e242-e828-4c79-9603-bf898b02eb7d
