# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	Sample Type	Sample_Name_Seq_R1	UUID1_R1	Sample_Name_Seq_R2	UUID_R2
C3L-00401_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00401_tumor.transcripts.gtf.gz	19312650	gtf	7c47f8be4fc84ff78119ec311b551754	tumor	C3L-00401.RNA-Seq.R1.T	64ca103c-f18f-44de-b8b1-123784233175	C3L-00401.RNA-Seq.R2.T	65b84802-756a-4188-8cee-262aac9e0685
C3L-00415	LSCC	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00415_tissue_normal.transcripts.gtf.gz	19749888	gtf	1a91bc169f4094eb88acc102580fa946	tissue_normal	C3L-00415.RNA-Seq.R1.A	8100a0ca-c430-4b33-85cf-3abe321fb359	C3L-00415.RNA-Seq.R2.A	dc450c88-d669-4441-a21f-5acc6150c721
C3L-00415	LSCC	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00415_tumor.transcripts.gtf.gz	23749199	gtf	f1ff5e79a09b8d39299308a65b01a547	tumor	C3L-00415.RNA-Seq.R1.T	49738f7f-2551-46ea-83e9-c36f55a2d3cb	C3L-00415.RNA-Seq.R2.T	b04807f8-ed2a-4bba-8647-feb8bd679a10
C3L-00424_tumor	GBM	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00424_tumor.transcripts.gtf.gz	22827512	gtf	886390fe68c409f75e4a2aa238f10fab	tumor	C3L-00424.RNA-Seq.R1.T	cab0cc6e-c6f3-469a-8753-fe98accd0ac0	C3L-00424.RNA-Seq.R2.T	b7457e33-86b2-4f72-b0b0-2bc2740d92a7
C3L-00429_tumor	GBM	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00429_tumor.transcripts.gtf.gz	23836282	gtf	2f0d4a62970e2e1ec13d56062dbf7a71	tumor	C3L-00429.RNA-Seq.R1.T	c8aea007-296c-4c5f-9a05-f37a17f71fb7	C3L-00429.RNA-Seq.R2.T	174b78e2-8f90-4bd3-b3e6-33e1ac6c973f
C3L-00444	LUAD	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-00444_tissue_normal.transcripts.gtf.gz	20327201	gtf	e2b3ff8c363e15d41762cc039e26d19d	tissue_normal	C3L-00444.RNA-Seq.R1.A	331f7d00-b768-43d2-98ed-aa61ed897322	C3L-00444.RNA-Seq.R2.A	155744ac-8c8c-4c44-bf98-dad598363c9e
C3L-00444	LUAD	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-00444_tumor.transcripts.gtf.gz	20385744	gtf	51922d2314275961a62acf498e78846c	tumor	C3L-00444.RNA-Seq.R1.T	b6490610-1ed9-4419-ba29-bf212c549bf2	C3L-00444.RNA-Seq.R2.T	1ac9bf23-6370-44fd-8861-57ccb30bb6d0
C3L-00445	LSCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-00445_tissue_normal.transcripts.gtf.gz	20478109	gtf	57625514aa747827bd7f2a27f1d53fe1	tissue_normal	C3L-00445.RNA-Seq.R1.A	adcf873e-8068-482d-86f6-c45269581947	C3L-00445.RNA-Seq.R2.A	a0e1915a-e37d-43c9-9057-a6ceb942130e
C3L-00445	LSCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-00445_tumor.transcripts.gtf.gz	20662380	gtf	7760ae85cc35be212f5177cfb52e7598	tumor	C3L-00445.RNA-Seq.R1.T	fe878db6-3333-4bca-9757-acca87223d7d	C3L-00445.RNA-Seq.R2.T	ce3eb190-137f-44cc-8ee9-5427aa689226
C3L-00446	LUAD	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-00446_tissue_normal.transcripts.gtf.gz	20955068	gtf	92cc9437449bb0305989dee02c665895	tissue_normal	C3L-00446.RNA-Seq.R1.A	d5219752-cb3f-4079-bef2-b7e0401b1cb9	C3L-00446.RNA-Seq.R2.A	e720a590-dbd9-4648-9c4c-80155cfecff4
C3L-00446	LUAD	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-00446_tumor.transcripts.gtf.gz	21724463	gtf	641b4d8a449de6e1b6f477f1a23af7cf	tumor	C3L-00446.RNA-Seq.R1.T	6dc12a76-42da-4bb6-a37c-e7b2600633f0	C3L-00446.RNA-Seq.R2.T	7c60aa89-72b4-4919-b828-99f4a5a033e2
C3L-00503	LSCC	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00503_tissue_normal.transcripts.gtf.gz	19478002	gtf	a4278f346b1465cc22e578dc3027c32d	tissue_normal	C3L-00503.RNA-Seq.R1.A	fdce22ee-161a-4432-ae86-7feb24ae101a	C3L-00503.RNA-Seq.R2.A	6eb0643b-579d-457a-838a-81f9f2dc72b7
C3L-00503	LSCC	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00503_tumor.transcripts.gtf.gz	19734681	gtf	a340bd8227e57af39228d25510a22cd3	tumor	C3L-00503.RNA-Seq.R1.T	d417ab83-b7a3-4d1f-a449-c5ef3dd1c622	C3L-00503.RNA-Seq.R2.T	4cc1e5db-b9b9-4181-9e63-e1b63e9de28c
C3L-00506_tumor	GBM	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00506_tumor.transcripts.gtf.gz	21697317	gtf	0ba5db2e857c726547170897576a2c7d	tumor	C3L-00506.RNA-Seq.R1.T	c87ff577-885e-4b58-8ae5-01c87a77337a	C3L-00506.RNA-Seq.R2.T	3f3fd006-cee8-494e-ba71-98e6134ffdff
C3L-00528_tumor	GBM	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00528_tumor.transcripts.gtf.gz	22228082	gtf	1f7acf5fd9e67d4644c965920370ec74	tumor	C3L-00528.RNA-Seq.R1.T	09588a09-bf91-4c35-977b-bc7d02d7de13	C3L-00528.RNA-Seq.R2.T	7b3935ea-c2e1-4ebe-8839-772b6d131fea
C3L-00568	LSCC	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00568_tissue_normal.transcripts.gtf.gz	19549043	gtf	a43fa644097406739848ee0658573cca	tissue_normal	C3L-00568.RNA-Seq.R1.A	71964440-fe3e-4d98-aa81-e03b1f107ef2	C3L-00568.RNA-Seq.R2.A	799d7ef2-c594-44cd-93c5-d2644bd53034
C3L-00568	LSCC	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00568_tumor.transcripts.gtf.gz	20481320	gtf	a7e608bc29cf1d878138e8f71a060fcd	tumor	C3L-00568.RNA-Seq.R1.T	703dcfe1-5b06-436f-aa6e-95e945ee9dcc	C3L-00568.RNA-Seq.R2.T	0bbd7e2e-fdaf-4465-bfa2-a40946256805
C3L-00589_tissue_normal	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00589_tissue_normal.transcripts.gtf.gz	21341018	gtf	b89a646588528d15259436894683e158	tissue_normal	C3L-00589.RNA-Seq.R1.A	20d32d65-582a-4620-9c43-d2c7c245f584	C3L-00589.RNA-Seq.R2.A	e4b1dbfa-3713-4c5e-9087-bbbcc1a51f54
C3L-00589_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00589_tumor.transcripts.gtf.gz	20665105	gtf	47a04c2550a82215870dc43a538c7b41	tumor	C3L-00589.RNA-Seq.R1.T	9568d5b0-fb1c-47bc-bd22-e13e816f7a8d	C3L-00589.RNA-Seq.R2.T	da2c3763-55e0-4d4b-91d0-d0af716be826
C3L-00591_tumor	GBM	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00591_tumor.transcripts.gtf.gz	23346503	gtf	baff2ef466c51c453064a6c51487a47b	tumor	C3L-00591.RNA-Seq.R1.T	05139df5-3a85-4380-bdc1-efbfe764d1a9	C3L-00591.RNA-Seq.R2.T	eae7cd2c-46b0-448b-9666-56871463002c
C3L-00598_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00598_tumor.transcripts.gtf.gz	21142500	gtf	b12cbd545d0ccf42bfc34b8b7514c2e3	tumor	C3L-00598.RNA-Seq.R1.T	b478f334-dfb5-454c-86c3-bd69233ba106	C3L-00598.RNA-Seq.R2.T	53a54935-e290-42a5-89c8-d983987b1fc3
C3L-00599_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00599_tumor.transcripts.gtf.gz	20459279	gtf	42406ed419cfd1d2adad45a7f94279ae	tumor	C3L-00599.RNA-Seq.R1.T	1670ad87-2708-4ed6-998a-782e7b346522	C3L-00599.RNA-Seq.R2.T	fe9a475f-851e-4d88-be9e-cf0ef2922c26
C3L-00603	LSCC	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00603_tissue_normal.transcripts.gtf.gz	20883721	gtf	f87d388c0535242d56c88350ebb1e9ca	tissue_normal	C3L-00603.RNA-Seq.R1.A	73708fbb-5e14-4ca1-9560-e6e5cb912924	C3L-00603.RNA-Seq.R2.A	b44f5c79-6a5d-4639-ba5e-5111379cff8a
C3L-00603	LSCC	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00603_tumor.transcripts.gtf.gz	22953988	gtf	f802187ea59d6e5a8592b61da58ddbbe	tumor	C3L-00603.RNA-Seq.R1.T	6da4e491-3134-4e63-bec0-2cf5c58e0e93	C3L-00603.RNA-Seq.R2.T	5481f05c-19c7-4ecc-803b-8e18a2e9aa0e
C3L-00622_tissue_normal	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00622_tissue_normal.transcripts.gtf.gz	19376961	gtf	0e7fa50cb85a26642301fc1fd1232aff	tissue_normal	C3L-00622.RNA-Seq.R1.A	ee0d436f-ad91-401e-9b1a-8b0633bbbfe9	C3L-00622.RNA-Seq.R2.A	a511911a-2894-4e73-bd51-e368bafbff63
C3L-00622_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00622_tumor.transcripts.gtf.gz	21570089	gtf	0da6ba20d0480d29e1edaaf189cf0e6a	tumor	C3L-00622.RNA-Seq.R1.T	49777911-e523-49e1-b3cd-8c9c7691a5d2	C3L-00622.RNA-Seq.R2.T	c273c1af-0c01-462a-baf6-6503fc50bbec
C3L-00625_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00625_tumor.transcripts.gtf.gz	19813227	gtf	146c659fe1cb0803a34f465f0160b05c	tumor	C3L-00625.RNA-Seq.R1.T	637a1123-2d19-4fb8-8c2b-62b5244519c7	C3L-00625.RNA-Seq.R2.T	cc431b64-163e-4e98-a110-cb5692802d83
C3L-00631_tumor	GBM	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00631_tumor.transcripts.gtf.gz	22885986	gtf	c4c51538426a3ad6ac7b0b72dc0bc50f	tumor	C3L-00631.RNA-Seq.R1.T	dc56f593-4b2c-43a3-8510-eb5fd3c5a636	C3L-00631.RNA-Seq.R2.T	f07fda88-50e4-419c-a63e-495af06950f9
C3L-00640_tissue_normal	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00640_tissue_normal.transcripts.gtf.gz	20991099	gtf	a72603b165b8f4a950d1d2bd466096bc	tissue_normal	C3L-00640.RNA-Seq.R1.A	6cc3e251-b039-4f7a-9f24-f013c999082e	C3L-00640.RNA-Seq.R2.A	1dad8c71-f547-4abf-bfeb-4c82d1f0a3a9
C3L-00640_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00640_tumor.transcripts.gtf.gz	19136414	gtf	37fe7bba9206c8d5673d9a000bf04073	tumor	C3L-00640.RNA-Seq.R1.T	33806087-ff71-44e1-86ac-67e5e48af603	C3L-00640.RNA-Seq.R2.T	1aae486e-75c6-44a9-a69a-56459137c071
C3L-00671_tumor	GBM	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00671_tumor.transcripts.gtf.gz	22340526	gtf	e0b14662bc718d5e1b82f5487d1a752f	tumor	C3L-00671.RNA-Seq.R1.T	2756606c-5c75-49f9-95d2-6d016582c20b	C3L-00671.RNA-Seq.R2.T	a27bde88-b3d1-436b-ac01-0887eab16663
C3L-00674	GBM	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00674_tumor.transcripts.gtf.gz	22406606	gtf	a63e395da3c308ce9dd6d236d540bc6e	tumor	C3L-00674.RNA-Seq.R1.T	7e77417b-9b2c-4504-827c-af04a22624be	C3L-00674.RNA-Seq.R2.T	eaf91490-e4f5-470e-83fd-9df23bc5a93a
C3L-00677	GBM	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00677_tumor.transcripts.gtf.gz	23679152	gtf	f981bbbdf55f7d90660a80a5cfbc6398	tumor	C3L-00677.RNA-Seq.R1.T	304fea20-f8c8-4481-b569-d4f292f18ac7	C3L-00677.RNA-Seq.R2.T	792f7658-8838-4de8-956f-b0680b8609eb
